visitors,datetime,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,cloudcover,visibility,solarradiation,uvindex,sunrise,sunset
25548,2021-02-25,24.8,16.6,60.8,0.088,100,8.33,64.7,34.9,56.2,15.9,194.4,8,2021-02-25 6:54:38,2021-02-25 18:34:24
25306,2021-02-26,25,16.2,58.6,0,0,0,54,36.4,45.6,16,231.8,9,2021-02-26 6:53:52,2021-02-26 18:34:50
27076,2021-02-27,23.5,17.6,69.5,6.439,100,33.33,51.8,33.4,56.7,15.9,106.4,6,2021-02-27 6:53:06,2021-02-27 18:35:15
29244,2021-02-28,23.7,17.1,66.9,0.312,100,12.5,56.6,37.7,55.9,15.7,189.5,7,2021-02-28 6:52:18,2021-02-28 18:35:39
29890,2021-03-01,23.7,15.4,60.4,0.371,100,8.33,54.7,34.9,70.1,15.9,201.3,9,2021-03-01 6:51:30,2021-03-01 18:36:04
28871,2021-03-02,23.3,15.4,62,0.946,100,25,60.5,38.6,56,16,180.3,7,2021-03-02 6:50:42,2021-03-02 18:36:27
29124,2021-03-03,22.7,14.7,61.9,2.567,100,8.33,48.1,26.5,60,15.7,199.5,8,2021-03-03 6:49:53,2021-03-03 18:36:51
28379,2021-03-04,22,15,65,0.704,100,12.5,48.1,23.5,53.3,15.9,191.5,6,2021-03-04 6:49:03,2021-03-04 18:37:14
29813,2021-03-05,21.2,17.1,78.6,7.343,100,45.83,53.6,28,82.2,15.6,131.3,6,2021-03-05 6:48:13,2021-03-05 18:37:37
29459,2021-03-06,22.7,16.7,69.6,0.898,100,16.67,48.3,34.5,63.9,15.8,139,5,2021-03-06 6:47:22,2021-03-06 18:37:59
31672,2021-03-07,24.2,16.1,61.3,0,0,0,44.8,31.1,30.8,16,225.3,8,2021-03-07 6:46:31,2021-03-07 18:38:21
32361,2021-03-08,23,18.9,78.3,16.678,100,50,48.1,30.4,80.3,15.4,115.6,6,2021-03-08 6:45:40,2021-03-08 18:38:43
29785,2021-03-09,22,19.2,84.5,36.818,100,66.67,69.4,20.1,92.6,14.8,98.5,6,2021-03-09 6:44:48,2021-03-09 18:39:04
30091,2021-03-10,21.5,19.6,89.7,23.609,100,58.33,38.9,22.5,65.4,15,260.6,10,2021-03-10 6:43:55,2021-03-10 18:39:26
28260,2021-03-11,21.8,19.7,88.2,8.623,100,41.67,,13.8,72.9,15.3,144.6,6,2021-03-11 6:43:02,2021-03-11 18:39:47
27578,2021-03-12,22.6,20.5,88.2,10.259,100,45.83,50,35,79,15.4,104.2,7,2021-03-12 6:42:09,2021-03-12 18:40:07
29198,2021-03-13,21.9,18.4,80.9,4.238,100,50,50,23.7,73.1,15.7,156.2,6,2021-03-13 6:41:16,2021-03-13 18:40:28
29871,2021-03-14,22.2,17.7,76.2,0.411,100,8.33,31.7,16.8,52,15.8,206.8,8,2021-03-14 6:40:22,2021-03-14 18:40:48
30643,2021-03-15,22,18.9,83.2,1.85,100,25,42.5,30.8,50.5,15.6,127.9,7,2021-03-15 6:39:29,2021-03-15 18:41:08
29050,2021-03-16,22.4,18.7,80.6,2.944,100,41.67,50,29.2,79.9,15.8,134.1,6,2021-03-16 6:38:34,2021-03-16 18:41:28
28791,2021-03-17,22.9,15.6,64.5,0.105,100,8.33,59.4,35.1,51.7,16,307.9,10,2021-03-17 6:37:40,2021-03-17 18:41:47
27159,2021-03-18,21.3,16.3,73.3,1.23,100,33.33,88.1,32.2,72.6,15.5,140.5,5,2021-03-18 6:36:46,2021-03-18 18:42:07
27156,2021-03-19,23,15,61.4,0.484,100,8.33,108,34.8,49.7,16,298.1,10,2021-03-19 6:35:51,2021-03-19 18:42:26
26968,2021-03-20,23.3,16.4,65.8,0.48,100,12.5,53.6,36,59.4,15.8,319.5,9,2021-03-20 6:34:56,2021-03-20 18:42:46
29314,2021-03-21,23,15.2,62.5,0.594,100,16.67,57.2,32.9,55.8,15.5,248.3,10,2021-03-21 6:34:01,2021-03-21 18:43:05
29251,2021-03-22,23.9,15.5,60,0,0,0,45,25.6,43.9,16,240.6,9,2021-03-22 6:33:06,2021-03-22 18:43:24
27306,2021-03-23,23.3,18.6,75.2,4.619,100,41.67,20.5,17.6,60.5,16,147,5,2021-03-23 6:32:11,2021-03-23 18:43:42
26575,2021-03-24,24.8,19.9,74.4,1.053,100,37.5,35.3,27.3,82.6,15.8,73.5,4,2021-03-24 6:31:16,2021-03-24 18:44:01
26319,2021-03-25,24.5,20.1,76.7,6.549,100,29.17,36.6,21.7,72.2,15.4,96.3,4,2021-03-25 6:30:22,2021-03-25 18:44:20
25258,2021-03-26,24.5,18.7,71,0,0,0,38.9,19.7,49.2,16,157.3,7,2021-03-26 6:29:27,2021-03-26 18:44:39
25984,2021-03-27,24.6,17.1,63.2,0,0,0,42.4,31.3,68,16,269.7,10,2021-03-27 6:28:32,2021-03-27 18:44:58
27118,2021-03-28,23.6,15.8,61.8,0,0,0,36,20.7,78.2,16,159.9,6,2021-03-28 6:27:37,2021-03-28 18:45:16
27949,2021-03-29,24.6,17.5,65,0.191,100,8.33,37.1,23.2,68.4,16,131.6,4,2021-03-29 6:26:42,2021-03-29 18:45:35
26593,2021-03-30,24.7,17.9,66.7,0,0,0,39.1,30.6,51.1,16,198.1,6,2021-03-30 6:25:48,2021-03-30 18:45:54
27284,2021-03-31,24.6,18,67.4,0,0,0,37.1,28.5,56.7,16,212.1,9,2021-03-31 6:24:53,2021-03-31 18:46:12
